Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb),HeatFlux,Jdate,AP (kPa),gamma,VPD (kPa),VPS (kPa/°C),Rnet (MJ/m²/day),ETo (inch),Week,CWPE,SWPE
2024-04-24,8.545,0.0,203.729,6.648,80.839,0.978,7.905,0.87282,114.0,97.429,0.06384512980963225,0.1874999999999999,0.06733975311591936,9.516575814016468,0.0704533383610136,17,11,7
2024-04-25,5.064,0.0,326.25,7.163,69.907,1.013,7.082,0.87282,115.0,97.433,0.06387900329364236,0.30479999999999985,0.06947197984734062,13.596236641914894,0.10959514825437844,17,11,7
2024-04-26,7.845,6.35,143.229,11.85,68.237,1.389,9.476,0.87282,116.0,97.475,0.06419250126488411,0.4413999999999999,0.0916800117532747,7.339387409515315,0.11364795796274432,17,11,7
2024-04-27,10.096,5.334,212.125,19.983,75.809,2.336,17.708,0.87282,117.0,97.544,0.06474062613417708,0.5651999999999999,0.1446070490692956,10.448193562592957,0.15505852620913935,17,11,7
2024-04-28,9.971,1.524,218.271,21.448,69.111,2.556,17.667,0.87282,118.0,97.556,0.06483998801071171,0.7892999999999999,0.15646779719454432,10.620703930715042,0.19474689492043148,17,11,7
2024-04-29,6.524,6.604,71.188,17.881,83.811,2.049,17.17,0.87282,119.0,97.527,0.06459869302960111,0.33199999999999963,0.128923374953613,4.80229644767907,0.07476402237736407,18,12,8
2024-04-30,3.94,0.0,340.688,17.723,70.845,2.028,14.37,0.87282,120.0,97.525,0.06458756929364844,0.591,0.12780517550889076,15.035913005794306,0.1699657521873335,18,12,8
2024-05-01,6.381,0.0,338.0,20.178,57.633,2.364,13.626,0.74453,121.0,97.546,0.06475410295729832,1.0013999999999998,0.14614047180573247,14.488573473113487,0.23413796828685565,18,12,8
2024-05-02,5.568,0.0,286.938,21.398,56.978,2.548,14.52,0.74453,122.0,97.556,0.06483686439301131,1.096,0.15604985598026924,12.735895819481037,0.2260557123606012,18,12,8
2024-05-03,5.735,0.508,237.125,20.106,72.274,2.354,17.011,0.74453,123.0,97.545,0.06474895270512973,0.6529,0.14557269090416286,11.388131472532788,0.16102475929878246,18,12,8
2024-05-04,3.682,0.0,314.333,20.583,64.338,2.424,15.596,0.74453,124.0,97.549,0.06478134319248004,0.8643999999999998,0.1493692670518417,14.093180377888185,0.19275929140826284,18,12,8
2024-05-05,6.172,0.762,290.958,16.544,72.91,1.882,13.725,0.74453,125.0,97.515,0.06450792747083167,0.5094999999999998,0.11971777631206344,13.159916085228605,0.15237890610202484,18,12,8
2024-05-06,6.621,0.0,267.604,17.821,69.9,2.041,14.266,0.74453,126.0,97.526,0.06459430913424515,0.6143999999999998,0.12849776957215153,12.28497685707871,0.16494704284903686,19,13,9
2024-05-07,7.67,3.81,211.271,20.556,69.614,2.42,16.847,0.74453,127.0,97.549,0.06477965933055395,0.7352999999999996,0.14915215337018747,10.341533221386758,0.17523324060189083,19,13,9
2024-05-08,3.423,0.0,245.188,20.556,59.535,2.42,14.407,0.74453,128.0,97.549,0.06477965933055395,0.9792999999999998,0.14915215337018747,11.283136698906194,0.17786114537052738,19,13,9
2024-05-09,6.836,5.588,51.417,15.36,88.005,1.745,15.36,0.74453,129.0,97.505,0.06442815695632004,0.20900000000000007,0.11203735761654225,4.032180043988373,0.052810911171532186,19,13,9
2024-05-10,5.32,0.0,258.562,14.038,73.502,1.602,11.779,0.74453,130.0,97.494,0.06433941165049778,0.42410000000000014,0.10396031112298385,11.791145050688717,0.12774629869432597,19,13,9
2024-05-11,10.197,1.016,335.583,16.379,57.069,1.863,10.631,0.74453,131.0,97.514,0.06449706026090093,0.7998999999999998,0.11862137966415819,14.083638469348475,0.22086466380726053,19,13,9
2024-05-12,4.681,0.0,347.75,18.265,54.827,2.099,11.506,0.74453,132.0,97.53,0.06462450904672766,0.9484000000000001,0.1316756447273879,14.551205215290892,0.21428650410291125,19,13,9
2024-05-13,6.103,0.0,245.979,20.696,55.878,2.441,13.639,0.74453,133.0,97.55,0.06478905557895438,1.0770999999999997,0.15028083034785733,11.191319361178092,0.21916557239600387,20,14,10
2024-05-14,4.755,0.254,119.083,17.948,82.522,2.057,16.977,0.74453,134.0,97.527,0.06460284928539527,0.35929999999999973,0.1294000458316885,6.76985405115942,0.08700260170583254,20,14,10
2024-05-15,6.815,5.842,168.021,17.502,85.469,2.0,17.096,0.74453,135.0,97.523,0.06457254382911368,0.2904,0.12625491219868057,8.78189009489366,0.09366259543183064,20,14,10
2024-05-16,2.154,0.0,0.0,11.975,86.922,1.4,12.171,0.74453,136.0,97.476,0.06420082140256658,0.18289999999999984,0.09234665136031381,2.0999803781254136,0.025325944552029037,20,14,10
